zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
25187,8.6,74.9,17.4
67223,18.2,98.7,33.5
98310,7.1,92.6,23.1
94066,12.5,89.6,40
29434,2.4,62.8,12.1
68164,13.8,95.8,43
58235,0.7,93.9,21.9
33147,2.7,72.2,8.8
30040,14.1,92.2,47.6
43231,8.3,90.9,31.2
54875,4.7,89.1,14.6
63939,2.3,77.1,7
54814,9.5,91.8,29.8
65334,9,87.3,19.1
81030,6.9,89.1,7.9
23307,0,69.3,0
12734,10.8,83.3,24.6
64859,6.5,81.3,16
33314,5,85,25.5
84047,8.3,89.4,29.2
47034,4.9,93.9,4.9
29322,7.8,85.3,23.9
72401,8.9,87.3,25.4
46702,4.1,91.3,13
07307,13,83,36.7
58540,3.3,90.5,15
94130,10,88.1,43.3
55340,19.3,95.6,50.5
66860,5.5,91.9,19.6
83127,6.9,89.8,30
12206,7.4,81.8,16.9
39562,3.5,86.5,9.4
79528,5.4,76.9,22.6
28735,10.5,96.6,21.4
49265,6.8,94.1,24.8
27929,3,92.4,27.7
36790,0,92.2,0
37174,11.3,96.6,39.7
12529,13.8,89.8,27.8
50849,4,94.4,14.3
18064,11.4,91.5,32.5
19610,20.6,95.2,48.6
28783,4.6,84.5,7.5
73716,7,91.7,16.8
63122,29.9,97.5,66.7
03431,16.7,93.6,38.8
75074,10.4,82.3,34.8
49233,4.9,88.6,18
95224,20.7,71.7,36.4
67360,3,69.6,9.1
98850,0.6,75.4,5.9
51450,6.4,90.6,21.3
34135,13,82.9,31.9
65323,4.9,83.5,11.6
62533,9,87.9,18.1
55357,11.3,96.5,38
57722,7.5,94.3,26.6
54826,5.5,93.3,15.6
75926,1.7,94.6,12.7
12933,14.8,100,55.6
95670,9.7,89.4,30.9
17078,12.1,94.1,32.7
25206,5,68.6,6.9
24089,2.9,72.6,8.2
74029,3.5,87.9,10.8
38655,21.3,90.6,45.5
14710,12.7,91.6,21.3
16153,6.7,90,19.8
14568,12.9,96.5,37.8
29709,5.2,80.4,12.1
08003,31.7,96.6,65.5
07111,4.4,83.7,15.1
01450,26.5,98.3,66.2
58456,7,86.9,27.4
16901,11.4,92.5,25
35501,4.5,80.1,9.8
07002,10.4,87.7,33.6
30413,4.5,81.3,17.2
05859,7,83.9,17.2
67156,7.5,89.9,22
11931,0,100,0
71220,2.6,81.3,13
52060,6,92.8,18
96750,5.4,92.9,25.4
12083,7.9,91.4,22.4
18437,15.2,95.1,30.5
95973,11,93,34.6
14480,4.3,81.7,14.8
13437,6.4,96.6,11.3
10595,21.4,88.1,42.8
41740,9.5,79.6,18.5
98665,7.3,88.9,25.9
48166,3.5,90.4,15.6
65626,5.3,80.9,8.2
83443,4.2,84.2,14.5
68452,1.8,89.1,16.4
57792,0,91.8,0
98407,15.3,94.2,36.8
31051,0,73.4,18
46307,9.2,93.3,30.9
80535,21.7,91.1,42.3
59520,8.4,96.4,29.3
43610,5.9,77.7,16.8
71226,4.1,75.2,16
88317,19.2,95.8,36.2
96058,10.4,63,23.2
76031,3.5,79.5,14.8
60970,2.4,88.5,10.2
85531,6.6,100,14.5
29939,0,79.9,3.2
57107,6.8,90.4,27
24246,0,81.3,0
65588,5.1,80.7,12.8
28372,5.9,80.9,18.9
46304,12.7,93.5,32.2
15680,8.1,86.3,13.7
26416,8.1,86.8,19.5
