mean,median,stdev,lat,lon,zip_code
16482.67,11912.0,14944.67,18.4402,-66.0428,00915
22190.0,15973.0,25756.0,18.4197,-66.0479,00917
13976.0,11362.0,13929.0,18.4009,-66.09,00920
15492.0,10073.0,14379.5,18.3929,-66.0929,00921
25091.0,20214.75,20191.25,18.4147,-66.0251,00923
31725.75,25846.75,27254.0,18.3905,-66.0341,00924
24066.0,14867.0,23805.0,18.4003,-66.0542,00925
70117.0,61265.0,52131.0,18.3604,-66.0576,00926
36412.0,28222.0,31301.5,18.3943,-66.0911,00927
39401.36,43310.79,37074.79,18.4058,-66.0571,00928
70323.0,52177.0,60101.0,18.403,-66.1114,00934
24039.29,19721.86,17679.86,18.4263,-66.2079,00949
16128.0,13048.0,11466.0,18.4197,-66.2153,00950
33975.0,28961.5,27137.5,18.4146,-66.2368,00951
32863.75,27232.5,25074.75,18.3764,-66.2446,00953
34488.29,25322.29,28397.29,18.3632,-66.1582,00956
33352.9,26632.9,30716.8,18.3658,-66.1876,00957
23237.67,17223.67,19944.33,18.3898,-66.1641,00959
27977.5,20534.0,23069.0,18.3887,-66.177,00960
16570.0,14466.0,11976.0,18.4264,-66.1741,00961
27044.8,22807.0,19524.0,18.4437,-66.1464,00962
13245.0,8730.0,13945.0,18.4404,-66.1182,00963
73614.0,61414.5,63380.5,18.3731,-66.1058,00969
26433.88,17645.38,27440.5,18.3248,-66.0883,00970
35484.75,20572.5,40151.25,18.3196,-66.0921,00971
37596.0,29233.33,31083.0,18.3422,-66.0074,00976
37257.75,100837.25,24688.25,18.4256,-66.0052,00979
34740.5,26499.5,30583.5,18.4238,-65.9762,00983
29449.33,25597.67,24639.33,18.399,-65.9818,00984
37947.0,120082.67,35574.33,18.3956,-65.9501,00985
35947.0,34685.0,23431.0,18.3618,-65.9219,00986
38681.0,41508.5,26331.0,18.3723,-65.9445,00987
27264.5,17983.0,26590.0,18.3862,-65.9639,00988
64780.0,57281.0,45370.0,42.0831,-72.6114,01001
85645.33,137590.0,60456.33,42.3852,-72.5166,01002
95647.0,300000.0,62247.0,42.4188,-72.1066,01005
35339.0,28872.0,29791.0,42.1427,-72.6117,01013
63987.5,57298.5,40508.0,42.173,-72.5854,01020
62054.0,57266.0,34231.0,42.2,-72.5464,01022
93036.5,190748.5,66716.5,42.26,-72.6939,01027
69955.0,300000.0,48312.0,42.0514,-72.6647,01030
81043.0,76168.0,55570.0,42.2449,-72.5001,01033
81291.0,65805.0,63720.0,42.3565,-72.5686,01035
110812.0,93246.0,68655.0,42.0712,-72.4177,01036
74502.0,64735.0,55069.0,42.3894,-72.6168,01038
55908.5,79691.5,44096.83,42.2047,-72.6244,01040
71905.0,67119.67,43931.0,42.2066,-72.9071,01050
80398.0,300000.0,42678.5,42.162,-72.449,01056
85456.0,300000.0,59449.0,42.3091,-72.6678,01060
71196.0,58099.0,62845.0,42.3283,-72.7039,01062
51620.0,44303.0,40190.0,42.1794,-72.2776,01069
48722.0,35026.0,46129.0,42.229,-72.594,01075
69112.0,67100.0,39426.0,42.0536,-72.7439,01077
76255.5,61018.5,52641.5,42.0666,-72.2047,01081
48871.0,34842.0,44985.0,42.2531,-72.2274,01082
48966.0,124294.67,37881.67,42.1288,-72.7502,01085
77029.0,75808.5,50981.0,42.1206,-72.6574,01089
48020.0,42432.0,29343.0,42.2002,-72.1998,01092
71528.0,55056.0,54441.0,42.4542,-72.6109,01093
107530.0,99507.0,79273.0,42.1124,-72.4301,01095
42570.5,34320.5,37990.0,42.1261,-72.5829,01104
23653.5,14062.0,27882.0,42.0993,-72.5828,01105
116693.0,110033.0,83548.0,42.0536,-72.5484,01106
72001.5,48246.5,62383.5,42.1222,-72.6127,01107
45025.5,87980.25,37668.25,42.084,-72.5542,01108
42481.0,121060.0,33400.0,42.1196,-72.5504,01109
67822.0,43889.0,55908.0,42.0898,-72.528,01118
61897.5,174129.0,45981.0,42.1242,-72.5079,01119
38367.0,29504.5,34685.0,42.1556,-72.5,01151
51498.8,37595.0,39358.2,42.4491,-73.2483,01201
51301.0,35394.0,39972.0,42.6357,-73.1108,01220
73612.0,64745.0,52526.0,42.325,-73.1108,01223
62695.0,53122.0,46053.0,42.5651,-73.1491,01225
55825.0,32115.0,57210.0,42.302,-73.323,01230
69196.0,63726.0,44107.0,42.5359,-73.2411,01237
104263.0,94260.0,70871.0,42.3032,-73.2339,01238
74653.0,52344.0,66226.0,42.3679,-73.2698,01240
24461.0,20493.0,18274.0,42.6985,-73.0843,01247
64826.0,47080.0,56072.0,42.4076,-71.0509,01249
74902.0,59823.0,57312.0,42.1524,-73.114,01253
68132.0,186587.0,54260.5,42.101,-73.3009,01257
90115.0,69776.0,77153.0,42.7089,-73.2014,01267
61561.0,50154.0,44371.0,42.6019,-72.5981,01301
79780.0,62524.0,60828.0,42.526,-72.7568,01330
52016.0,44592.0,37081.0,42.5941,-72.2245,01331
73433.0,66948.0,45100.0,42.6726,-72.5669,01337
50155.0,39215.0,44147.0,42.6029,-72.3152,01364
86049.0,78174.0,58106.0,42.518,-72.6131,01373
50964.0,300000.0,34858.0,42.5966,-72.5612,01376
54553.25,111213.0,41410.75,42.5839,-71.8004,01420
85750.0,84920.0,52538.0,42.6763,-71.8325,01431
116236.0,114277.0,74673.0,42.5629,-71.5801,01432
46945.67,37257.67,36846.67,42.581,-71.9904,01440
116936.0,99801.0,81057.0,42.6191,-71.5383,01450
143484.0,300000.0,79075.0,42.5043,-71.5885,01451
55125.0,47942.33,45298.33,42.5248,-71.7498,01453
91817.0,79207.0,67760.0,42.5345,-71.4721,01460
98918.0,89214.0,60787.0,42.6026,-71.7409,01462
83602.0,300000.0,56617.0,42.5635,-72.0755,01468
107414.0,95132.0,64184.0,42.6384,-71.7146,01469
104307.0,300000.0,55737.0,42.5546,-71.9054,01473
46502.0,300000.0,42969.0,42.6644,-72.0275,01475
77291.0,60190.0,55673.0,42.2149,-71.8346,01501
112818.0,125022.0,57213.0,42.125,-71.9514,01507
64043.0,50276.0,52642.0,42.418,-71.6777,01510
118645.0,300000.0,72300.0,42.3278,-71.8209,01520
87385.0,300000.0,58261.0,42.2404,-71.8896,01524
