number_of_fastfood,zip_code1,zip_code
2,23229,23229
3,23230,23230
1,23231,23231
3,23234,23234
3,23235,23235
1,23236,23236
2,23294,23294
3,23320,23320
2,23321,23321
1,23322,23322
1,23325,23325
1,23336,23336
1,2339,2339
1,23435,23435
1,23451,23451
3,23452,23452
3,23455,23455
1,23462,23462
3,23464,23464
2,23502,23502
1,23503,23503
1,23517,23517
1,23518,23518
1,2356,2356
1,2360,2360
1,23602,23602
1,23604,23604
1,23606,23606
2,2364,2364
1,23661,23661
3,23666,23666
1,23669,23669
1,2368,2368
1,23707,23707
2,2379,2379
4,23803,23803
1,23824,23824
2,23831,23831
2,23832,23832
1,23834,23834
1,23836,23836
2,23851,23851
1,23860,23860
1,23950,23950
8,23970,23970
4,24012,24012
6,24014,24014
3,24018,24018
2,24019,24019
1,24060,24060
4,24073,24073
1,24083,24083
2,24112,24112
1,24121,24121
1,24141,24141
1,24151,24151
10,24153,24153
1,24171,24171
1,24179,24179
1,24201,24201
1,24210,24210
1,24219,24219
1,24251-3408,24251
1,24266,24266
1,24273,24273
2,24293,24293
1,24319,24319
5,24333,24333
4,24343,24343
8,24354,24354
1,24360-3477,24360
10,24401,24401
4,24426,24426
8,24450,24450
1,24482,24482
5,24502,24502
2,2451,2451
2,24517,24517
1,24522,24522
2,24523,24523
1,24531,24531
1,24540,24540
1,24541,24541
1,24572,24572
1,24572-0618,24572
1,2459,2459
2,24592,24592
2,24614,24614
1,2464,2464
3,24641,24641
1,24651,24651
2,24701,24701
1,24739,24739
2,24801,24801
2,25015,25015
1,25143,25143
1,25186,25186
2,25271,25271
1,25302,25302
1,25304,25304
2,25309,25309
3,25313,25313
1,2536,2536
1,25389,25389
1,25401,25401
2,25404,25404
1,25411,25411
1,25438,25438
1,25530,25530
1,2554,2554
1,25570,25570
1,25601,25601
1,25701,25701
1,25702,25702
3,25703,25703
1,25705,25705
3,25801,25801
2,25813,25813
2,25840,25840
2,25901,25901
1,25962,25962
1,25962-1107,25962
9,26003,26003
3,2601,2601
2,26062,26062
1,26101,26101
2,26104,26104
1,26105,26105
1,26105-4110,26105
4,26155,26155
1,26159,26159
1,26201-2634,26201
2,26301,26301
1,26354,26354
1,26426,26426
1,26452,26452
3,26505,26505
1,2653,2653
11,26554,26554
3,26601,26601
4,26726,26726
1,26847,26847
1,27006,27006
1,27028,27028
1,2703,2703
12,27030,27030
1,27051,27051
1,27052,27052
2,27055,27055
2,27103,27103
2,27105,27105
4,27106,27106
1,27127,27127
1,2719,2719
1,27203,27203
1,27209,27209
2,2721,2721
3,27215,27215
1,2726,2726
1,27260,27260
2,27262,27262
2,27263,27263
1,27265,27265
2,27278,27278
4,27284,27284
5,27288,27288
5,27292,27292
2,27295,27295
1,27310,27310
2,27312,27312
1,27316,27316
4,27317,27317
7,27320,27320
1,27332,27332
2,27344,27344
1,27377,27377
1,2740,2740
2,27406,27406
3,27409,27409
1,2744,2744
1,27455,27455
1,2746,2746
1,27502,27502
2,27504,27504
3,27511,27511
1,27513,27513
1,27514,27514
1,27518,27518
1,27520,27520
1,27523,27523
1,27526,27526
4,27529,27529
2,27530,27530
1,27534,27534
2,27536,27536
1,27545,27545
1,27546,27546
1,27549,27549
1,27560,27560
4,27565,27565
3,27577,27577
1,27587,27587
1,27597,27597
2,27604,27604
2,27609,27609
1,27610,27610
1,27612,27612
3,27613,27613
2,27615,27615
2,27616,27616
1,2762,2762
1,2767,2767
1,27701,27701
2,27703,27703
2,27704,27704
2,27705,27705
2,27707,27707
1,27713,27713
2,2777,2777
3,27801,27801
4,27834,27834
1,27856,27856
3,27858,27858
8,27870,27870
1,27889,27889
2,27892,27892
3,27893,27893
4,27909,27909
2,27910,27910
1,27949,27949
1,27959,27959
3,27962,27962
4,28001,28001
1,28006,28006
1,28012,28012
1,28023,28023
2,28025,28025
1,28027,28027
1,28034,28034
1,28037,28037
2,28043,28043
2,28052,28052
3,28054,28054
1,28075-7526,28075
2,28078,28078
1,28079,28079
3,28083,28083
1,28097,28097
2,28104,28104
2,28105,28105
5,28110,28110
3,28117,28117
1,28134,28134
1,28137,28137
1,28139,28139
2,28144,28144
3,28147,28147
2,28150,28150
3,28152,28152
1,28159,28159
1,2816,2816
1,28170,28170
1,28174,28174
1,28206,28206
1,28208,28208
1,28210,28210
1,28211,28211
2,28215,28215
1,28226,28226
1,28262,28262
1,28269,28269
1,28273,28273
1,28301,28301
2,28303,28303
3,28306,28306
1,28307,28307
1,28314,28314
1,28315,28315
1,28327,28327
1,28334,28334
1,28337,28337
1,28345,28345
6,28352,28352
1,28365,28365
1,28377,28377
2,28379,28379
1,28384,28384
1,28390,28390
1,28401,28401
2,28403,28403
2,28405,28405
1,2842,2842
2,28425,28425
1,28428,28428
1,28445,28445
8,28451,28451
1,28461,28461
1,28501,28501
1,2852,2852
1,28532,28532
2,28540,28540
1,28544,28544
2,28546,28546
2,28547,28547
1,28557,28557
1,28562,28562
4,28584,28584
3,28601,28601
3,28602,28602
9,28607,28607
1,2861,2861
1,28613,28613
1,28625,28625
1,2863,2863
1,28638,28638
3,28645,28645
1,2865,2865
3,28655,28655
2,28659,28659
2,28677,28677
1,28681,28681
1,28704,28704
2,28713,28713
1,28716,28716
1,28719,28719
1,28731,28731
6,28734,28734
3,28752,28752
1,28759,28759
1,28768,28768
1,28777,28777
2,28779,28779
4,28786,28786
1,28787,28787
1,28792,28792
4,28803,28803
1,2886,2886
1,28906,28906
1,2891,2891
1,2893,2893
2,2895,2895
3,29006,29006
2,29010,29010
7,29020,29020
1,2903,2903
3,2904,2904
1,29042,29042
1,29045,29045
1,29063,29063
4,29072,29072
2,29073,29073
2,2909,2909
6,29102,29102
1,29108,29108
8,29115,29115
2,29138,29138
1,2914,2914
1,29142,29142
1,2916,2916
3,29169,29169
1,2917,2917
2,29170,29170
2,29180,29180
1,2919,2919
2,2920,2920
1,29201,29201
3,29203,29203
1,29204,29204
2,29206,29206
3,29209,29209
4,29210,29210
3,29212,29212
4,29223,29223
1,29229,29229
5,29301,29301
1,29302,29302
3,29303,29303
1,29316,29316
2,29325,29325
1,29340,29340
1,29341,29341
1,29356,29356
2,29360,29360
1,29379,29379
1,29385,29385
1,29388,29388
4,29405,29405
2,29406,29406
1,29407,29407
1,29414,29414
5,29418,29418
1,29420,29420
1,29424,29424
1,29440,29440
1,29445,29445
2,29455,29455
1,29456,29456
1,29461,29461
1,29464,29464
2,29466,29466
1,29477,29477
2,29483,29483
4,29485,29485
1,29486,29486
1,29488,29488
1,29492,29492
1,29492-8382,29492
4,29501,29501
1,29505,29505
3,29512,29512
2,29526,29526
2,29532,29532
2,29536,29536
2,29550,29550
1,29556,29556
1,29565,29565
1,29569,29569
1,29571,29571
1,29574,29574
2,29575,29575
1,29576,29576
4,29577,29577
1,29579,29579
3,29582,29582
2,29588,29588
1,29605,29605
5,29607,29607
1,29609,29609
4,29611,29611
1,29615,29615
4,29621,29621
2,29624,29624
2,29631,29631
1,29640,29640
1,29642,29642
1,29644,29644
4,29649,29649
1,29662,29662
1,29671,29671
2,29673,29673
2,29678,29678
2,29680,29680
2,29681,29681
2,29690,29690
1,29692,29692
1,29697,29697
2,29702,29702
1,29707,29707
2,29708,29708
2,29710,29710
2,29715,29715
3,29720,29720
2,29728,29728
3,29730,29730
2,29732,29732
3,29745,29745
1,29801,29801
2,29803,29803
1,29851,29851
1,29860,29860
1,29902,29902
1,29907,29907
1,29910,29910
1,29924,29924
2,29926,29926
1,29928,29928
1,29935,29935
4,29936,29936
2,30004,30004
1,30005,30005
1,30008,30008
1,30013,30013
4,30014,30014
2,30019,30019
