,popultion,zipcode_str,state,county
273,3823,01436,MA,Worcester County
274,635,01438,MA,Worcester County
275,20334,01440,MA,Worcester County
276,11182,01450,MA,Middlesex County
277,4629,01451,MA,Worcester County
278,4537,01452,MA,Worcester County
279,41336,01453,MA,Worcester County
280,9538,01460,MA,Middlesex County
281,11087,01462,MA,Worcester County
282,12031,01463,MA,Middlesex County
283,7433,01464,MA,Middlesex County
284,560,01467,MA,Worcester County
285,3704,01468,MA,Worcester County
286,7430,01469,MA,Middlesex County
287,7480,01473,MA,Worcester County
288,1939,01474,MA,Middlesex County
289,10613,01475,MA,Worcester County
290,16239,01501,MA,Worcester County
291,3061,01503,MA,Worcester County
292,9068,01504,MA,Worcester County
293,4480,01505,MA,Worcester County
294,3386,01506,MA,Worcester County
295,13292,01507,MA,Worcester County
296,13759,01510,MA,Worcester County
297,2259,01515,MA,Worcester County
298,8689,01516,MA,Worcester County
299,3009,01518,MA,Worcester County
300,6548,01519,MA,Worcester County
301,14880,01520,MA,Worcester County
302,2374,01521,MA,Hampden County
303,3380,01522,MA,Worcester County
304,7811,01523,MA,Worcester County
305,6649,01524,MA,Worcester County
306,128,01525,MA,Worcester County
307,13431,01527,MA,Worcester County
308,3218,01529,MA,Worcester County
309,1106,01531,MA,Worcester County
310,14846,01532,MA,Worcester County
311,6406,01534,MA,Worcester County
312,4761,01535,MA,Worcester County
313,7557,01536,MA,Worcester County
314,2671,01537,MA,Worcester County
315,10921,01540,MA,Worcester County
316,3451,01541,MA,Worcester County
317,2366,01542,MA,Worcester County
318,8402,01543,MA,Worcester County
319,36103,01545,MA,Worcester County
320,16824,01550,MA,Worcester County
321,4504,01560,MA,Worcester County
322,249,01561,MA,Worcester County
323,11801,01562,MA,Worcester County
324,7954,01564,MA,Worcester County
325,6442,01566,MA,Worcester County
326,7532,01568,MA,Worcester County
327,13881,01569,MA,Worcester County
328,16838,01570,MA,Worcester County
329,11608,01571,MA,Worcester County
330,18706,01581,MA,Worcester County
331,7602,01583,MA,Worcester County
332,4606,01585,MA,Worcester County
333,9731,01588,MA,Worcester County
334,9184,01590,MA,Worcester County
335,23812,01602,MA,Worcester County
336,20505,01603,MA,Worcester County
337,35866,01604,MA,Worcester County
338,28696,01605,MA,Worcester County
339,19258,01606,MA,Worcester County
340,8636,01607,MA,Worcester County
341,3511,01608,MA,Worcester County
342,19982,01609,MA,Worcester County
343,23919,01610,MA,Worcester County
344,2466,01611,MA,Worcester County
345,4889,01612,MA,Worcester County
346,32061,01701,MA,Middlesex County
347,38781,01702,MA,Middlesex County
348,526,01718,MA,Middlesex County
349,5287,01719,MA,Middlesex County
350,22638,01720,MA,Middlesex County
351,17420,01721,MA,Middlesex County
352,14018,01730,MA,Middlesex County
353,1957,01731,MA,Middlesex County
354,5113,01740,MA,Worcester County
355,5125,01741,MA,Middlesex County
356,19448,01742,MA,Middlesex County
357,482,01745,MA,Worcester County
358,14324,01746,MA,Middlesex County
359,5942,01747,MA,Worcester County
360,16257,01748,MA,Middlesex County
361,19680,01749,MA,Middlesex County
362,39545,01752,MA,Middlesex County
363,10526,01754,MA,Middlesex County
364,5963,01756,MA,Worcester County
365,28600,01757,MA,Worcester County
366,35133,01760,MA,Middlesex County
367,4255,01770,MA,Middlesex County
368,9486,01772,MA,Worcester County
369,4793,01773,MA,Middlesex County
370,7027,01775,MA,Middlesex County
371,18594,01776,MA,Middlesex County
372,13697,01778,MA,Middlesex County
373,39775,01801,MA,Middlesex County
374,25698,01803,MA,Middlesex County
375,34963,01810,MA,Essex County
376,31780,01821,MA,Middlesex County
377,25803,01824,MA,Middlesex County
378,30855,01826,MA,Middlesex County
379,3310,01827,MA,Middlesex County
380,25882,01830,MA,Essex County
381,23305,01832,MA,Essex County
382,8514,01833,MA,Essex County
383,6681,01834,MA,Essex County
384,13153,01835,MA,Essex County
385,5524,01840,MA,Essex County
386,47836,01841,MA,Essex County
387,25963,01843,MA,Essex County
388,49057,01844,MA,Essex County
389,29705,01845,MA,Essex County
390,16394,01850,MA,Middlesex County
391,30026,01851,MA,Middlesex County
392,34332,01852,MA,Middlesex County
393,29204,01854,MA,Middlesex County
394,6695,01860,MA,Essex County
395,11134,01862,MA,Middlesex County
396,9103,01863,MA,Middlesex County
397,15476,01864,MA,Middlesex County
398,24935,01867,MA,Middlesex County
399,29692,01876,MA,Middlesex County
400,12133,01879,MA,Middlesex County
401,26062,01880,MA,Middlesex County
402,23850,01886,MA,Middlesex County
403,23310,01887,MA,Middlesex County
404,22491,01890,MA,Middlesex County
405,1637,01901,MA,Essex County
406,47081,01902,MA,Essex County
407,17103,01904,MA,Essex County
408,26209,01905,MA,Essex County
409,27773,01906,MA,Essex County
410,14418,01907,MA,Essex County
411,3471,01908,MA,Essex County
412,17082,01913,MA,Essex County
413,40967,01915,MA,Essex County
414,8198,01921,MA,Essex County
415,2829,01922,MA,Essex County
416,27419,01923,MA,Essex County
417,3632,01929,MA,Essex County
418,29546,01930,MA,Essex County
419,139,01937,MA,Essex County
420,13682,01938,MA,Essex County
421,13143,01940,MA,Essex County
422,5321,01944,MA,Essex County
423,20363,01945,MA,Essex County
424,9514,01949,MA,Essex County
425,17837,01950,MA,Essex County
426,4076,01951,MA,Essex County
427,8899,01952,MA,Essex County
428,51948,01960,MA,Essex County
429,7167,01966,MA,Essex County
430,6145,01969,MA,Essex County
431,42650,01970,MA,Essex County
432,8136,01982,MA,Essex County
433,6434,01983,MA,Essex County
434,5135,01984,MA,Essex County
435,4484,01985,MA,Essex County
436,16833,02019,MA,Norfolk County
437,22562,02021,MA,Norfolk County
438,8316,02025,MA,Norfolk County
439,25272,02026,MA,Norfolk County
440,5864,02030,MA,Norfolk County
441,4070,02032,MA,Norfolk County
442,17348,02035,MA,Norfolk County
443,32873,02038,MA,Norfolk County
444,22901,02043,MA,Plymouth County
445,10437,02045,MA,Plymouth County
446,47,02047,MA,Plymouth County
447,23615,02048,MA,Bristol County
448,25961,02050,MA,Plymouth County
449,12510,02052,MA,Norfolk County
450,13135,02053,MA,Norfolk County
451,8110,02054,MA,Norfolk County
452,11442,02056,MA,Norfolk County
453,10845,02061,MA,Plymouth County
454,29018,02062,MA,Norfolk County
455,17978,02066,MA,Plymouth County
456,18066,02067,MA,Norfolk County
457,1686,02071,MA,Norfolk County
458,28260,02072,MA,Norfolk County
459,19481,02081,MA,Norfolk County
460,15364,02090,MA,Norfolk County
461,11483,02093,MA,Norfolk County
462,4049,02108,MA,Suffolk County
463,4015,02109,MA,Suffolk County
464,2124,02110,MA,Suffolk County
465,7564,02111,MA,Suffolk County
466,7495,02113,MA,Suffolk County
467,13001,02114,MA,Suffolk County
468,28976,02115,MA,Suffolk County
469,23004,02116,MA,Suffolk County
470,27664,02118,MA,Suffolk County
471,26833,02119,MA,Suffolk County
472,15322,02120,MA,Suffolk County
473,28029,02121,MA,Suffolk County
474,24624,02122,MA,Suffolk County
475,52986,02124,MA,Suffolk County
476,36353,02125,MA,Suffolk County
477,29531,02126,MA,Suffolk County
478,36311,02127,MA,Suffolk County
479,46208,02128,MA,Suffolk County
480,18314,02129,MA,Suffolk County
481,39316,02130,MA,Suffolk County
482,32459,02131,MA,Suffolk County
483,28292,02132,MA,Suffolk County
484,17598,02134,MA,Suffolk County
485,40513,02135,MA,Suffolk County
486,31762,02136,MA,Suffolk County
487,37067,02138,MA,Middlesex County
488,36338,02139,MA,Middlesex County
489,19604,02140,MA,Middlesex County
490,13059,02141,MA,Middlesex County
491,2807,02142,MA,Middlesex County
492,26800,02143,MA,Middlesex County
493,24475,02144,MA,Middlesex County
494,26006,02145,MA,Middlesex County
495,60812,02148,MA,Middlesex County
496,44496,02149,MA,Middlesex County
497,38237,02150,MA,Suffolk County
498,53172,02151,MA,Suffolk County
499,18031,02152,MA,Suffolk County
500,59348,02155,MA,Middlesex County
501,2575,02163,MA,Suffolk County
502,55876,02169,MA,Norfolk County
503,19574,02170,MA,Norfolk County
504,17899,02171,MA,Norfolk County
505,27787,02176,MA,Middlesex County
506,21831,02180,MA,Middlesex County
507,37066,02184,MA,Norfolk County
508,27351,02186,MA,Norfolk County
509,15347,02188,MA,Norfolk County
510,15076,02189,MA,Norfolk County
511,16886,02190,MA,Norfolk County
512,8292,02191,MA,Norfolk County
513,1260,02199,MA,Suffolk County
514,0,02203,MA,Suffolk County
515,2461,02210,MA,Suffolk County
516,24698,02215,MA,Suffolk County
517,60659,02301,MA,Plymouth County
518,34154,02302,MA,Plymouth County
519,4476,02322,MA,Norfolk County
520,27381,02324,MA,Plymouth County
521,11557,02330,MA,Plymouth County
522,15444,02332,MA,Plymouth County
523,14222,02333,MA,Plymouth County
524,7753,02338,MA,Plymouth County
525,14332,02339,MA,Plymouth County
526,10477,02341,MA,Plymouth County
527,10654,02343,MA,Norfolk County
528,24005,02346,MA,Plymouth County
529,11230,02347,MA,Plymouth County
530,16196,02351,MA,Plymouth County
531,12498,02356,MA,Bristol County
532,1234,02357,MA,Bristol County
533,18166,02359,MA,Plymouth County
534,58024,02360,MA,Plymouth County
535,13106,02364,MA,Plymouth County
536,192,02366,MA,Plymouth County
537,2913,02367,MA,Plymouth County
538,33880,02368,MA,Norfolk County
539,17725,02370,MA,Plymouth County
540,10038,02375,MA,Bristol County
541,7044,02379,MA,Plymouth County
542,14767,02382,MA,Plymouth County
543,14325,02420,MA,Middlesex County
544,18611,02421,MA,Middlesex County
545,21029,02445,MA,Norfolk County
546,29589,02446,MA,Norfolk County
547,18130,02451,MA,Middlesex County
548,15295,02452,MA,Middlesex County
549,29256,02453,MA,Middlesex County
550,1622,02457,MA,Norfolk County
551,12868,02458,MA,Middlesex County
552,19020,02459,MA,Middlesex County
553,10125,02460,MA,Middlesex County
554,7267,02461,MA,Middlesex County
555,1419,02462,MA,Middlesex County
556,3136,02464,MA,Middlesex County
557,11875,02465,MA,Middlesex County
558,8573,02466,MA,Middlesex County
559,22048,02467,MA,Norfolk County
560,5485,02468,MA,Middlesex County
561,33874,02472,MA,Middlesex County
562,27916,02474,MA,Middlesex County
563,16492,02476,MA,Middlesex County
564,25548,02478,MA,Middlesex County
565,16328,02481,MA,Norfolk County
566,10959,02482,MA,Norfolk County
567,20185,02492,MA,Norfolk County
568,11946,02493,MA,Middlesex County
569,9982,02494,MA,Norfolk County
570,12370,02532,MA,Barnstable County
571,952,02534,MA,Barnstable County
572,1812,02535,MA,Dukes County
573,19366,02536,MA,Barnstable County
574,6249,02537,MA,Barnstable County
575,3228,02538,MA,Plymouth County
576,4247,02539,MA,Dukes County
577,8635,02540,MA,Barnstable County
578,756,02542,MA,Barnstable County
579,935,02543,MA,Barnstable County
580,115,02553,MA,Barnstable County
581,10434,02554,MA,Nantucket County
582,2621,02556,MA,Barnstable County
583,4647,02557,MA,Dukes County
584,1243,02558,MA,Plymouth County
585,4243,02559,MA,Barnstable County
586,479,02561,MA,Barnstable County
587,3194,02562,MA,Barnstable County
588,9469,02563,MA,Barnstable County
589,250,02564,MA,Nantucket County
590,4072,02568,MA,Dukes County
591,10628,02571,MA,Plymouth County
592,2306,02575,MA,Dukes County
593,5225,02576,MA,Plymouth County
594,10,02584,MA,Nantucket County
595,14503,02601,MA,Barnstable County
596,2355,02630,MA,Barnstable County
597,9782,02631,MA,Barnstable County
598,10293,02632,MA,Barnstable County
599,3859,02633,MA,Barnstable County
600,3486,02635,MA,Barnstable County
601,125,02637,MA,Barnstable County
602,3479,02638,MA,Barnstable County
603,2435,02639,MA,Barnstable County
604,236,02641,MA,Barnstable County
605,4898,02642,MA,Barnstable County
606,9,02643,MA,Barnstable County
607,4829,02644,MA,Barnstable County
608,9457,02645,MA,Barnstable County
609,1888,02646,MA,Barnstable County
610,169,02647,MA,Barnstable County
611,6456,02648,MA,Barnstable County
612,14080,02649,MA,Barnstable County
613,1197,02650,MA,Barnstable County
614,26,02651,MA,Barnstable County
615,781,02652,MA,Barnstable County
616,5879,02653,MA,Barnstable County
617,3465,02655,MA,Barnstable County
618,2962,02657,MA,Barnstable County
619,835,02659,MA,Barnstable County
620,6557,02660,MA,Barnstable County
621,120,02663,MA,Barnstable County
622,9049,02664,MA,Barnstable County
623,808,02666,MA,Barnstable County
624,3048,02667,MA,Barnstable County
625,2934,02668,MA,Barnstable County
626,251,02669,MA,Barnstable County
627,1325,02670,MA,Barnstable County
628,913,02671,MA,Barnstable County
629,257,02672,MA,Barnstable County
630,8571,02673,MA,Barnstable County
631,6383,02675,MA,Barnstable County
632,4632,02702,MA,Bristol County
633,44121,02703,MA,Bristol County
634,40,02713,MA,Dukes County
635,3625,02715,MA,Bristol County
636,4479,02717,MA,Bristol County
637,6524,02718,MA,Bristol County
638,16078,02719,MA,Bristol County
639,30785,02720,MA,Bristol County
640,25722,02721,MA,Bristol County
641,14162,02723,MA,Bristol County
642,17601,02724,MA,Bristol County
643,2320,02725,MA,Bristol County
644,15959,02726,MA,Bristol County
645,5014,02738,MA,Plymouth County
646,6216,02739,MA,Plymouth County
647,43531,02740,MA,Bristol County
648,10422,02743,MA,Bristol County
649,11231,02744,MA,Bristol County
650,24419,02745,MA,Bristol County
651,15419,02746,MA,Bristol County
652,23382,02747,MA,Bristol County
653,11849,02748,MA,Bristol County
654,27130,02760,MA,Bristol County
655,8892,02762,MA,Norfolk County
656,1815,02763,MA,Bristol County
657,3708,02764,MA,Bristol County
658,19409,02766,MA,Bristol County
659,13872,02767,MA,Bristol County
660,11914,02769,MA,Bristol County
661,5219,02770,MA,Plymouth County
662,14653,02771,MA,Bristol County
663,16236,02777,MA,Bristol County
664,6589,02779,MA,Bristol County
665,49807,02780,MA,Bristol County
666,15805,02790,MA,Bristol County
667,284,02791,MA,Bristol County
668,1078,02802,RI,Providence County
669,2026,02804,RI,Washington County
670,16304,02806,RI,Bristol County
671,885,02807,RI,Washington County
672,2327,02808,RI,Washington County
673,22376,02809,RI,Bristol County
674,1424,02812,RI,Washington County
675,7776,02813,RI,Washington County
676,7562,02814,RI,Providence County
677,183,02815,RI,Providence County
678,32647,02816,RI,Kent County
679,6112,02817,RI,Kent County
680,18299,02818,RI,Kent County
681,6480,02822,RI,Washington County
682,5263,02825,RI,Providence County
683,611,02826,RI,Providence County
684,2078,02827,RI,Kent County
685,7479,02828,RI,Providence County
686,5875,02830,RI,Providence County
687,3436,02831,RI,Providence County
688,4839,02832,RI,Washington County
689,775,02833,RI,Washington County
690,5462,02835,RI,Newport County
691,185,02836,RI,Washington County
692,3494,02837,RI,Newport County
693,3667,02838,RI,Providence County
694,1882,02839,RI,Providence County
695,23149,02840,RI,Newport County
696,1442,02841,RI,Newport County
697,16021,02842,RI,Newport County
698,22342,02852,RI,Washington County
699,9116,02857,RI,Providence County
700,650,02858,RI,Providence County
701,7196,02859,RI,Providence County
702,46221,02860,RI,Providence County
703,25400,02861,RI,Providence County
704,19366,02863,RI,Providence County
705,34228,02864,RI,Providence County
706,16742,02865,RI,Providence County
707,17112,02871,RI,Newport County
708,239,02872,RI,Newport County
709,315,02873,RI,Washington County
710,6152,02874,RI,Washington County
711,467,02875,RI,Washington County
712,250,02876,RI,Providence County
713,15795,02878,RI,Newport County
714,20928,02879,RI,Washington County
715,7715,02881,RI,Washington County
716,13475,02882,RI,Washington County
717,10548,02885,RI,Bristol County
718,28848,02886,RI,Kent County
719,19805,02888,RI,Kent County
720,27446,02889,RI,Kent County
721,21379,02891,RI,Washington County
722,4651,02892,RI,Washington County
723,29450,02893,RI,Kent County
724,854,02894,RI,Washington County
725,41272,02895,RI,Providence County
726,11977,02896,RI,Providence County
727,1324,02898,RI,Washington County
728,10895,02903,RI,Providence County
729,29480,02904,RI,Providence County
730,26148,02905,RI,Providence County
731,28412,02906,RI,Providence County
732,28013,02907,RI,Providence County
733,37234,02908,RI,Providence County
734,43291,02909,RI,Providence County
735,21024,02910,RI,Providence County
736,15832,02911,RI,Providence County
737,1383,02912,RI,Providence County
738,21575,02914,RI,Providence County
739,16892,02915,RI,Providence County
740,8683,02916,RI,Providence County
741,14079,02917,RI,Providence County
742,29126,02919,RI,Providence County
743,37463,02920,RI,Providence County
744,12561,02921,RI,Providence County
745,11460,03031,NH,Hillsborough County
746,5222,03032,NH,Rockingham County
747,5148,03033,NH,Hillsborough County
748,3946,03034,NH,Rockingham County
749,4866,03036,NH,Rockingham County
750,4350,03037,NH,Rockingham County
751,33491,03038,NH,Rockingham County
752,6710,03042,NH,Rockingham County
753,1522,03043,NH,Hillsborough County
754,4402,03044,NH,Rockingham County
755,13777,03045,NH,Hillsborough County
756,2805,03046,NH,Merrimack County
757,1648,03047,NH,Hillsborough County
758,3418,03048,NH,Hillsborough County
759,7759,03049,NH,Hillsborough County
760,24801,03051,NH,Hillsborough County
761,8389,03052,NH,Hillsborough County
762,24656,03053,NH,Rockingham County
763,25580,03054,NH,Hillsborough County
764,15000,03055,NH,Hillsborough County
765,2540,03057,NH,Hillsborough County
766,29512,03060,NH,Hillsborough County
767,27331,03062,NH,Hillsborough County
768,16273,03063,NH,Hillsborough County
769,14163,03064,NH,Hillsborough County
770,5400,03070,NH,Hillsborough County
771,5167,03071,NH,Hillsborough County
772,13189,03076,NH,Hillsborough County
773,10349,03077,NH,Rockingham County
774,28932,03079,NH,Rockingham County
775,1680,03082,NH,Hillsborough County
776,1509,03084,NH,Hillsborough County
777,3745,03086,NH,Hillsborough County
778,14238,03087,NH,Rockingham County
779,2809,03101,NH,Hillsborough County
780,32292,03102,NH,Hillsborough County
781,37011,03103,NH,Hillsborough County
