median,stdev,lat,lon,clean_mean,zip_code
38687.0,38415.67,18.3753,-65.8942,48081.33,00729
19390.31,24399.77,18.0237,-66.6202,26519.77,00731
6020.0,6161.0,18.0086,-66.6268,7224.0,00732
19292.0,26127.0,18.0032,-66.6377,28457.0,00733
23079.5,30162.5,18.26,-65.6576,31032.0,00735
15388.67,24953.33,18.1153,-66.1657,23463.0,00736
17373.0,15530.0,18.112,-66.1593,21494.0,00737
21068.5,20476.5,18.3249,-65.662,25951.75,00738
21294.33,23501.67,18.1835,-66.1566,26994.33,00739
20570.0,21968.5,18.3798,-65.822,26432.83,00745
22674.67,23679.0,17.9719,-66.2385,28516.67,00751
14097.33,19190.67,18.1656,-65.9795,21023.33,00754
12248.5,12465.0,17.9888,-66.3771,15859.0,00757
23595.0,20854.0,18.114,-65.5008,27742.0,00765
17008.0,20288.67,18.1292,-66.4905,22675.33,00766
14017.33,14217.0,18.0493,-65.9042,18267.67,00767
15649.33,20809.67,18.0807,-66.3443,20102.33,00769
12971.33,19866.0,18.1783,-65.868,20053.33,00771
17596.25,16574.25,18.4178,-65.8406,20023.75,00772
16044.0,22396.5,18.3583,-65.7208,23729.5,00773
15149.4,20573.2,18.2373,-65.8912,22529.0,00777
15170.33,19781.33,18.2475,-65.9754,21931.67,00778
12799.0,16756.0,18.0354,-66.5598,18470.0,00780
12304.0,19316.0,18.2314,-66.2137,18327.0,00782
15178.75,19737.25,18.3218,-66.314,21072.5,00783
9639.5,20025.25,17.9731,-66.126,16858.5,00784
18220.25,23720.25,18.1238,-65.8033,25595.75,00791
16215.0,24203.0,18.1428,-65.8424,24591.0,00792
18700.0,25240.5,18.1939,-66.3337,26368.5,00794
18778.2,28916.6,18.0271,-66.4963,28429.8,00795
17887.25,29637.25,18.4578,-66.1022,30222.25,00901
54958.0,71722.0,18.456,-66.0655,67875.0,00907
21947.5,38811.0,18.4483,-66.0706,36350.0,00909
20219.0,25908.0,18.4463,-66.0608,30753.0,00912
6884.0,23098.0,18.4483,-66.0485,12736.0,00914
11912.0,14944.67,18.4402,-66.0428,16482.67,00915
15973.0,25756.0,18.4197,-66.0479,22190.0,00917
11362.0,13929.0,18.4009,-66.09,13976.0,00920
10073.0,14379.5,18.3929,-66.0929,15492.0,00921
20214.75,20191.25,18.4147,-66.0251,25091.0,00923
25846.75,27254.0,18.3905,-66.0341,31725.75,00924
14867.0,23805.0,18.4003,-66.0542,24066.0,00925
61265.0,52131.0,18.3604,-66.0576,70117.0,00926
28222.0,31301.5,18.3943,-66.0911,36412.0,00927
43310.79,37074.79,18.4058,-66.0571,39401.36,00928
52177.0,60101.0,18.403,-66.1114,70323.0,00934
19721.86,17679.86,18.4263,-66.2079,24039.29,00949
13048.0,11466.0,18.4197,-66.2153,16128.0,00950
28961.5,27137.5,18.4146,-66.2368,33975.0,00951
27232.5,25074.75,18.3764,-66.2446,32863.75,00953
25322.29,28397.29,18.3632,-66.1582,34488.29,00956
26632.9,30716.8,18.3658,-66.1876,33352.9,00957
17223.67,19944.33,18.3898,-66.1641,23237.67,00959
20534.0,23069.0,18.3887,-66.177,27977.5,00960
14466.0,11976.0,18.4264,-66.1741,16570.0,00961
22807.0,19524.0,18.4437,-66.1464,27044.8,00962
8730.0,13945.0,18.4404,-66.1182,13245.0,00963
61414.5,63380.5,18.3731,-66.1058,73614.0,00969
17645.38,27440.5,18.3248,-66.0883,26433.88,00970
20572.5,40151.25,18.3196,-66.0921,35484.75,00971
29233.33,31083.0,18.3422,-66.0074,37596.0,00976
100837.25,24688.25,18.4256,-66.0052,37257.75,00979
26499.5,30583.5,18.4238,-65.9762,34740.5,00983
25597.67,24639.33,18.399,-65.9818,29449.33,00984
120082.67,35574.33,18.3956,-65.9501,37947.0,00985
34685.0,23431.0,18.3618,-65.9219,35947.0,00986
41508.5,26331.0,18.3723,-65.9445,38681.0,00987
17983.0,26590.0,18.3862,-65.9639,27264.5,00988
57281.0,45370.0,42.0831,-72.6114,64780.0,01001
137590.0,60456.33,42.3852,-72.5166,85645.33,01002
300000.0,62247.0,42.4188,-72.1066,95647.0,01005
28872.0,29791.0,42.1427,-72.6117,35339.0,01013
57298.5,40508.0,42.173,-72.5854,63987.5,01020
57266.0,34231.0,42.2,-72.5464,62054.0,01022
190748.5,66716.5,42.26,-72.6939,93036.5,01027
300000.0,48312.0,42.0514,-72.6647,69955.0,01030
76168.0,55570.0,42.2449,-72.5001,81043.0,01033
65805.0,63720.0,42.3565,-72.5686,81291.0,01035
93246.0,68655.0,42.0712,-72.4177,110812.0,01036
64735.0,55069.0,42.3894,-72.6168,74502.0,01038
79691.5,44096.83,42.2047,-72.6244,55908.5,01040
67119.67,43931.0,42.2066,-72.9071,71905.0,01050
300000.0,42678.5,42.162,-72.449,80398.0,01056
