,State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
19771,NY,Staten Island,10302,40.6326156,-74.138903,89992,74564,60908
19772,NY,Staten Island,10309,40.539522399999996,-74.2308266,120792,107766,69235
19773,NY,Staten Island,10307,40.5086733,-74.2386183,97304,91815,61217
19774,NY,Staten Island,10307,40.5174917,-74.2434387,103896,300000,66157
19775,NY,Staten Island,10314,40.580104799999994,-74.1636582,58784,50434,42122
19776,NY,Staten Island,10314,40.5752205,-74.1552188,114571,300000,82141
19777,NY,Staten Island,10314,40.6137234,-74.16350290000001,117328,300000,59719
19778,NY,Brooklyn,11203,40.6588465,-73.9310338,46661,40744,35590
19779,NY,Staten Island,10303,40.6303035,-74.16332109999999,59998,300000,32753
19780,NY,Stony Point,10980,41.267749,-74.01183780000001,130934,300000,76516
19781,NY,Thiells,10984,41.2043944,-74.0126476,112235,113806,59941
19782,NY,Garnerville,10923,41.2058741,-73.9951212,104722,88988,73860
19783,NY,Haverstraw,10927,41.19531679999999,-73.966493,61183,47310,51280
19784,NY,New City,10956,41.169256299999994,-73.9693183,146495,146275,77960
19785,NY,Bronx,10456,40.836535,-73.9043915,22873,17622,19358
19786,NY,Congers,10920,41.1470203,-73.9519493,117335,93469,83194
19787,NY,Upper Nyack,10960,41.101961100000004,-73.94977540000001,111432,300000,70369
19788,NY,Nanuet,10954,41.1071763,-74.0250073,56338,34526,57767
19789,NY,New City,10956,41.125928200000004,-73.9922329,133815,300000,72944
19790,NY,Brooklyn,11212,40.662786100000005,-73.9137077,47665,38818,41555
19791,NY,Suffern,10901,41.1648788,-74.0741841,126135,115602,79210
19792,NY,Spring Valley,10977,41.129615,-74.0350964,89523,87721,54140
19793,NY,Suffern,10901,41.1280186,-74.1014297,144217,300000,88956
19794,NY,Suffern,10901,41.127177,-74.1705027,87314,79472,60561
19795,NY,Spring Valley,10977,41.13151729999999,-74.0816916,67977,59905,60560
19796,NY,Spring Valley,10977,41.103155,-74.06139449999999,43151,29771,38263
19797,NY,Spring Valley,10977,41.11564,-74.0463594,53045,48182,36856
19798,NY,Monsey,10952,41.0894129,-74.0783772,109329,99456,65401
19799,NY,Pearl River,10965,41.056967900000004,-74.0182313,102871,89553,70638
