number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
1,58703,21602.0,ND,Ward County,8.3,94.3,32.5,169594.0,43750.5,48.2531,-101.3125,63028.5
8,58801,27885.0,ND,Williams County,4.9,92.9,23.5,203631.0,62744.5,48.159,-103.6107,115516.0
1,59044,11180.0,MT,Yellowstone County,4.8,94.9,24.0,40589.0,46874.0,45.6826,-108.7469,55517.0
1,59047,12134.0,MT,Park County,10.3,95.6,31.2,51007.5,53276.0,45.4219,-110.5328,65692.0
1,59101,41284.0,MT,Yellowstone County,8.2,89.1,24.4,91462.64,35833.55,45.7911,-108.5294,52915.18
1,59230,4493.0,MT,Valley County,6.7,95.3,24.0,50485.0,52376.0,48.199,-106.6321,61329.0
1,59301,11688.0,MT,Custer County,6.1,92.0,21.9,39482.0,40415.5,46.4146,-105.8458,51740.0
3,59601,30366.0,MT,Lewis and Clark County,18.8,95.1,45.2,137995.0,49316.67,46.5865,-112.0108,74541.17
1,59722,5790.0,MT,Powell County,7.2,89.4,18.0,42402.0,25115.0,46.3927,-112.7548,48336.0
2,59801,31789.0,MT,Missoula County,19.4,95.2,45.6,67834.5,44875.38,46.8499,-114.0058,52969.5
3,59808,19448.0,MT,Missoula County,12.3,94.4,33.0,52339.0,61785.0,46.9523,-114.1331,63948.0
1,59840,14036.0,MT,Ravalli County,10.0,90.7,25.3,33606.67,47061.67,46.2023,-114.1121,49491.0
3,60002,24368.0,IL,Lake County,10.9,95.0,31.2,80706.0,59872.0,42.4866,-88.0805,89803.5
1,60004,50974.0,IL,Cook County,20.9,95.7,56.6,197981.0,67286.5,42.1255,-87.9845,109679.5
1,60007,33733.0,IL,Cook County,11.4,93.6,33.8,51429.33,40442.0,42.0169,-88.016,60629.33
1,60008,22023.0,IL,Cook County,11.6,84.2,33.3,61760.5,61052.0,42.0691,-88.0202,78900.0
